No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,321.3,329.9579593,326.9289055,313.2471777,315.8773046,321.5928981,314.3764847,0,0,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,320.9,322.6886617,338.3442063,316.6094014,329.3449417,342.7524509,331.772812,0,0,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,341.5,319.508344,325.8670171,323.6140342,319.3972552,328.6999235,316.3291337,0,0,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,327.8,328.4813832,329.4508906,329.4979257,312.6634367,299.7872521,304.2582128,0,0,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,351.5,334.614853,332.6365559,347.7099709,331.0283963,222.7406361,293.9624273,0,0,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,335.5,333.0246942,359.5819753,382.3128568,374.3390926,347.7596733,359.8199518,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,-0.132736056,0.140092655,0,0,0,0,0,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.132736056,0,0,0,0,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.1,0,0,0,-0.30608266,0,0,0,0,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.9,0.340748323,0.132736056,0.420277966,1.683454627,1.292186431,0.710054172,0,0,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,5.1,4.543310971,6.37133068,6.584354808,11.63114106,8.560735107,7.455568808,0,0,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,10.3,10.22244968,14.86643825,16.95121132,34.4342992,22.77478585,19.17146265,0,0,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,26.9,29.41793854,37.29883169,43.98909383,59.99220127,53.6257369,43.84584513,0,0,0,0
