No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
3.6,,330.2,284.1,236.9,221.1,219.2,343.6,215.7,0,0,0,0,,315.8,282.9,241.2,229,215.7,281.4,185.1,0,0,0,0,,315.9,217.1,240.1,224.6,211.4,254.5,199.8,0,0,0,0
3.65,,328.1,279.1,243.8,213,229.5,419.8,231,0,0,0,0,,316.5,278.5,246.4,225,229.9,326.3,189.9,0,0,0,0,,314.5,201.3,243.1,215.8,214.3,290.7,205.8,0,0,0,0
3.7,,334.6,289.9,243.5,229.5,246.4,409.7,214.6,0,0,0,0,,325.5,290.4,255.1,242.4,240.7,218.5,192.8,0,0,0,0,,316.8,270.2,246.1,228.7,226.6,308.3,200,0,0,0,0
3.75,,351.2,285.2,255.3,237.2,255.3,179.4,320,0,0,0,0,,337.6,294.7,267.5,252.1,257.6,222.2,225.5,0,0,0,0,,320.5,173.6,249.1,229.6,222.5,265.9,261.1,0,0,0,0
3.8,,347,294,265.9,231.3,265.3,740.5,269.9,0,0,0,0,,333.7,319.5,293.6,270.3,304.2,558.8,252.8,0,0,0,0,,311.5,152.2,252.6,219.9,226,470.3,232,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 3_1,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-0.6,-1.5,-0.8,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.4,,-0.2,0,-0.1,0,0,0.3,-0.1,0,0,0,0,,0,0,-0.1,0,-1.2,-3.9,-15.9,0,0,0,0,,0,0,-0.1,0,-0.1,0,0,0,0,0,0
2.5,,0.1,0,0,0.2,0.1,0.4,0.2,0,0,0,0,,-0.1,0,0,0.2,-0.9,-3,-25.1,0,0,0,0,,-0.1,0,0,0.2,0,0,0,0,0,0,0
2.6,,-0.3,0.1,0.3,0,-0.1,0.3,0.3,0,0,0,0,,-0.1,0.1,0.7,0,-1.9,0.2,-10.5,0,0,0,0,,-0.1,0,0,0,-0.2,0,0.1,0,0,0,0
2.7,,1.2,0.8,1,1.8,2.7,1.3,1.4,0,0,0,0,,1.7,0.8,1.3,0.9,-3.9,2.3,-2.3,0,0,0,0,,0.9,0.4,0.1,0.5,1.1,0.5,0.5,0,0,0,0
2.8,,7.6,7.3,5.2,5.4,10.3,5.8,5.4,0,0,0,0,,5.9,6.9,5,5.5,8.9,7.9,-0.6,0,0,0,0,,4.6,4.9,3.9,4,7.4,3.3,3.4,0,0,0,0
2.85,,20.7,17.6,15.4,17.9,28.4,18.1,10.1,0,0,0,0,,15.1,14.4,15.3,15.3,22.1,20.7,2.4,0,0,0,0,,11.8,10.9,10.4,11.2,18,11.7,6.7,0,0,0,0
