No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,40,37.02385218,34.90539897,33.73022198,30.04758651,28.26703243,22.41421109,15.70949174,16.16315354,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,57.5,51.59592228,56.28495584,50.26464452,47.31631439,50.14737135,47.53358559,34.58844234,41.25857615,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,84.3,76.53035334,75.59200465,70.76732847,74.02528018,76.99513856,55.00498929,54.29420829,55.57856307,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,143.2,136.9774589,139.7306753,131.062856,125.0255898,129.6262241,102.4097576,79.09866894,81.95002411,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,188.7,181.1254343,178.1266141,168.4306509,172.6872788,177.1716092,152.2620547,134.6331003,130.4394847,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,203.8,198.8278009,204.5238221,197.6414641,198.8206203,198.5788597,186.9139097,169.4971477,175.8097403,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,220.3,204.3328052,204.9601396,200.8381191,210.9087298,201.7722064,210.1010246,196.0930416,210.1209961,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,226,210.3775158,221.1038866,206.5700523,222.3060902,209.341621,215.5113515,188.3760983,224.1574189,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,221.2,214.5872249,227.975887,218.8055249,220.0035932,223.6525453,212.2909188,207.3928515,210.9716884,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,229.4,220.0922292,225.6852202,212.1917559,203.6558641,216.9110355,227.1049089,203.3965773,214.2326755,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,229.2,207.7869255,222.5219184,218.0339186,226.7959595,221.8784638,234.4474953,212.2159411,215.9340601,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,225.8,214.0475186,219.5767754,218.0339186,223.4573388,224.48045,222.3386686,211.6647308,208.9867397,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,236.7,210.053692,224.4853471,212.8531328,229.5589559,227.0824363,227.7489955,206.8416412,225.1498932,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,226.6,211.0251633,222.3037597,213.4042802,235.6605731,235.1249392,237.281476,207.6684566,226.7094958,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,231.2,200.6628024,219.9040135,212.0815264,239.9201927,235.3614835,246.556322,213.4561641,223.1649446,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,242.2,192.1354428,214.9954418,215.388411,255.5771726,237.0172929,234.8339472,214.6963871,225.7170214,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,236.5,194.294268,231.793665,227.2931952,271.8097768,227.3189805,250.6784758,219.7950818,231.3883034,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,219.5,191.5957365,234.8478875,236.2217834,278.9475177,236.5442045,264.719562,224.6181714,238.1938417,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,236.7,210.2695745,258.8453493,256.9449263,314.636222,280.3048823,318.3075609,223.6535535,244.99938,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 3_1,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,-0.5397063,0,0,-0.345374558,0,-0.128817305,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,-1.51117764,0,0,0.230249705,0,0,0.275605118,0,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0.97147134,-0.109079372,0,0,0.118272102,0,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-0.9,-1.83500142,0,0,0.115124853,-0.118272102,0,-0.137802559,-0.283564097,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.7,0.86353008,0.109079372,0.220458967,-0.345374558,0.827904716,-0.128817305,-0.275605118,-0.283564097,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,7,1.72706016,3.926857384,4.629638311,8.519239087,5.203972498,2.833980713,-0.826815355,1.701384584,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,16.9,9.714713401,11.78057215,9.920653524,7.943614824,13.24647545,6.698499866,4.271879333,2.835640973,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,36.7,26.4456087,30.43314473,22.26635569,26.24846638,32.17001181,18.80732655,15.02047894,15.02889716,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,50.3,45.11944668,47.12228861,43.87133447,45.12894219,47.6636572,41.60798955,33.21041675,32.89343528,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,71.5,67.57122876,67.62921051,63.49218255,65.16066653,74.86624072,55.52025851,46.43946242,52.459358,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,118.2,106.6459649,117.2603247,98.76561731,111.0954827,117.6807417,83.60243102,69.86589748,72.45062685,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,162.4,163.0992439,155.2199461,145.8336068,151.7345556,161.2048754,134.6140838,111.895678,119.9476131,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,198,187.8177924,183.5805827,183.5320902,191.4526298,194.4393361,177.1237945,144.6926871,177.0857788,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,204.1,201.0945674,206.8144889,200.7278896,200.8928677,204.2559206,201.5990825,184.104219,201.046945,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,212.1,198.2880946,210.3050288,211.530379,213.4414766,220.932287,212.0332842,188.789506,225.2916753,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,222.1,220.4160529,214.1228068,204.696151,203.0802399,226.1362595,212.4197361,202.7075645,208.5613935,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,221.1,211.7807521,219.2495373,212.9633623,219.7733435,220.4591986,243.9799759,206.290431,226.8512778,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,230.2,204.5486877,223.5036328,222.2226389,230.5950796,230.2757831,222.081034,220.8975023,217.0683165,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,234.4,209.1901619,223.9399503,208.6644125,225.9900855,214.4273214,231.2270627,211.5269283,213.3819832,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,241.3,212.3204584,214.2318862,207.4518881,237.2723211,227.910341,237.9255626,211.1135206,207.7107013,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,232.8,207.139278,221.212966,212.6326739,235.775698,231.340232,234.0610434,216.0744127,186.1598299,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,244,187.1701449,215.649918,216.0497879,236.0059477,240.8020002,251.9666488,225.3071842,182.0481505,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,237.8,186.8463211,206.9235683,227.6238836,258.4552939,257.0052782,251.4513796,213.3183615,164.6089585,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,235.2,192.8910316,243.0288403,225.198835,275.2635224,260.316897,258.5363314,223.6535535,159.3630227,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,227,182.9604357,247.3920152,227.0727362,302.6632373,279.1221613,271.2892446,234.126548,144.0505614,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,237.9,206.3836891,250.1189995,248.5674855,366.7877802,304.6689354,302.3342151,235.7801787,135.9689846,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
